Bowler,Matches,Wickets,Runs,Overs,Average,Economy,SR,BBI,3WI,Fours,Sixes
JD Unadkat,61,67,1822,216,27.19,8.44,19.34,5/25,6,162,73
JDP Oram,14,9,362,40,40.22,9.05,26.67,3/32,1,34,14
JDS Neesham,4,1,96,9,96.0,10.67,54.0,1/30,0,9,4
JE Taylor,5,6,167,20,27.83,8.35,20.0,3/31,1,10,9
JEC Franklin,15,9,225,26,25.0,8.65,17.33,2/18,0,21,6
JH Kallis,89,65,2348,291,36.12,8.07,26.86,3/15,2,236,58
JJ Bumrah,61,63,1840,229,29.21,8.03,21.81,3/7,8,156,56
JJ van der Wath,3,3,134,12,44.67,11.17,24.0,2/49,0,17,6
JM Kemp,5,3,58,9,19.33,6.44,18.0,3/15,1,6,1
JO Holder,11,5,313,36,62.6,8.69,43.2,2/20,0,29,11
JP Duminy,49,23,847,115,36.83,7.37,30.0,4/19,1,53,33
JP Faulkner,60,61,1849,209,30.31,8.85,20.56,5/18,7,160,67
JR Hopes,20,14,562,60,40.14,9.37,25.71,2/3,0,44,28
JW Hastings,3,3,66,10,22.0,6.6,20.0,2/6,0,11,0
Jaskaran Singh,7,6,174,18,29.0,9.67,18.0,2/20,0,23,4
Joginder Sharma,15,12,421,43,35.08,9.79,21.5,2/28,0,38,17
K Ahmed,1,0,41,3,41.0,13.67,0.0,0/41,0,2,4
K Goel,6,0,94,11,94.0,8.55,0.0,0/7,0,9,2
K Gowtham,15,10,333,40,33.3,8.32,24.0,2/18,0,36,9
K Khejroliya,3,2,118,11,59.0,10.73,33.0,2/35,0,7,6
K Rabada,6,6,198,22,33.0,9.0,22.0,2/28,0,20,5
K Santokie,2,3,91,8,30.33,11.38,16.0,2/51,0,6,6
K Upadhyay,3,0,81,9,81.0,9.0,0.0,0/19,0,9,3
KA Pollard,81,56,1785,202,31.88,8.84,21.64,4/44,3,139,63
KAJ Roach,2,0,80,8,80.0,10.0,0.0,0/32,0,10,3
KC Cariappa,10,8,315,34,39.38,9.26,25.5,2/16,0,21,16
KH Pandya,37,27,814,113,30.15,7.2,25.11,3/15,2,54,21
KJ Abbott,5,2,182,16,91.0,11.38,48.0,1/42,0,24,4
KK Cooper,25,33,789,96,23.91,8.22,17.45,4/27,5,59,23
KM Asif,2,3,77,6,25.67,12.83,12.0,2/44,0,7,6
KMDN Kulasekara,5,5,122,17,24.4,7.18,20.4,2/10,0,16,0
KP Appanna,13,9,291,36,32.33,8.08,24.0,4/19,1,20,11
KP Pietersen,13,7,218,29,31.14,7.52,24.86,2/33,0,10,9
KS Williamson,1,0,7,1,7.0,7.0,0.0,0/7,0,1,0
KV Sharma,60,53,1449,184,27.34,7.88,20.83,4/17,4,78,79
KW Richardson,14,18,450,53,25.0,8.49,17.67,3/13,1,35,23
Kamran Khan,9,10,248,28,24.8,8.86,16.8,4/36,1,25,10
Karanveer Singh,9,12,323,34,26.92,9.5,17.0,4/54,2,19,19
Kuldeep Yadav,30,35,883,105,25.23,8.41,18.0,4/20,3,42,48
L Ablish,3,3,76,7,25.33,10.86,14.0,2/18,0,11,1
L Balaji,73,76,2083,256,27.41,8.14,20.21,5/25,7,188,69
L Ngidi,7,11,175,26,15.91,6.73,14.18,4/13,1,13,6
L Plunkett,7,4,235,25,58.75,9.4,37.5,3/22,1,15,12
LA Carseldine,1,1,6,1,6.0,6.0,6.0,1/6,0,1,0
LH Ferguson,4,3,96,13,32.0,7.38,26.0,2/8,0,9,4
LJ Wright,6,2,125,12,62.5,10.42,36.0,1/12,0,5,9
LMP Simmons,1,1,34,3,34.0,11.33,18.0,1/34,0,2,2
LPC Silva,1,0,21,1,21.0,21.0,0.0,0/21,0,0,3
LR Shukla,27,15,458,54,30.53,8.48,21.6,3/6,2,39,16
LRPL Taylor,2,0,24,2,24.0,12.0,0.0,0/11,0,0,2
M Ali,5,3,101,14,33.67,7.21,28.0,1/13,0,5,5
M Ashwin,12,10,303,36,30.3,8.42,21.6,3/36,1,20,14
M Kartik,55,31,1418,192,45.74,7.39,37.16,3/17,1,97,41
M Lomror,2,0,27,3,27.0,9.0,0.0,0/8,0,3,0
M Manhas,3,0,42,7,42.0,6.0,0.0,0/9,0,2,1
M Markande,14,15,388,44,25.87,8.82,17.6,4/27,2,30,17
M Morkel,70,77,2136,272,27.74,7.85,21.19,4/20,6,230,61
M Muralitharan,66,64,1765,256,27.58,6.89,24.0,4/26,5,105,67
M Ntini,9,7,257,35,36.71,7.34,30.0,4/24,1,29,8
M Ur Rahman,11,14,302,42,21.57,7.19,18.0,3/30,1,21,9
M Vijay,4,0,49,6,49.0,8.17,0.0,0/8,0,6,0
M Wood,1,0,52,4,52.0,13.0,0.0,0/52,0,6,2
M de Lange,5,5,171,18,34.2,9.5,21.6,3/34,1,21,4
MA Khote,2,2,52,5,26.0,10.4,15.0,2/30,0,4,2
MA Starc,26,34,725,97,21.32,7.47,17.12,4/20,4,77,8
MB Parmar,1,0,33,3,33.0,11.0,0.0,0/33,0,6,0
MC Henriques,55,38,1255,151,33.03,8.31,23.84,3/16,1,120,37
MF Maharoof,20,27,532,70,19.7,7.6,15.56,3/34,1,46,16
MG Johnson,54,62,1749,208,28.21,8.41,20.13,3/27,3,196,55
MG Neser,1,0,62,4,62.0,15.5,0.0,0/62,0,6,4
MJ Clarke,5,2,72,11,36.0,6.55,33.0,1/12,0,4,2
MJ Henry,2,1,71,5,71.0,14.2,30.0,1/31,0,7,5
MJ McClenaghan,51,68,1719,195,25.28,8.82,17.21,4/26,7,170,65
MK Tiwary,6,1,86,7,86.0,12.29,42.0,1/11,0,2,7
MM Patel,63,74,1733,227,23.42,7.63,18.41,5/25,7,188,53
MM Sharma,84,90,2430,290,27.0,8.38,19.33,4/14,10,256,77
MN Samuels,11,9,285,36,31.67,7.92,24.0,3/39,1,23,12
MP Stoinis,18,13,436,45,33.54,9.69,20.77,4/21,2,43,15
MR Marsh,18,20,420,54,21.0,7.78,16.2,4/25,1,39,14
MS Gony,44,37,1317,148,35.59,8.9,24.0,3/31,2,135,53
Mashrafe Mortaza,1,0,59,4,59.0,14.75,0.0,0/59,0,4,4
Mohammad Asif,8,8,307,32,38.38,9.59,24.0,2/20,0,37,8
Mohammad Hafeez,4,2,71,10,35.5,7.1,30.0,1/11,0,5,2
Mohammad Nabi,5,3,106,16,35.33,6.62,32.0,1/13,0,10,4
Mohammed Shami,35,21,1106,119,52.67,9.29,34.0,2/36,0,111,40
