index,Batsman,Matches,Runs,Average,SR,HardHitter,Finisher,Running
339,TG Southee,12,106,13.25,130.86,0.691358024691358,0.3333333333333333,0.7246376811594203
340,TL Suman,39,676,21.125,115.56,0.6427350427350428,0.1794871794871795,0.5952380952380952
341,TM Dilshan,50,1138,26.465116279069772,109.32,0.664745437079731,0.14,0.5068181818181818
342,TM Head,10,204,29.142857142857146,136.0,0.64,0.3,0.8307692307692308
343,TM Srivastava,3,8,8.0,72.73,0.0,0.6666666666666666,0.7272727272727273
344,U Kaul,1,0,,0.0,0.0,1.0,0.0
345,UT Yadav,28,99,9.0,92.52,0.4672897196261682,0.6071428571428571,0.5104166666666666
346,Umar Gul,4,39,13.0,205.26,1.7894736842105263,0.25,0.38461538461538464
347,V Kohli,155,4943,38.6171875,127.92,0.7251552795031055,0.17419354838709677,0.6583640836408364
348,V Sehwag,104,2713,27.40404040404041,149.23,1.0792079207920793,0.04807692307692308,0.5442028985507247
349,V Shankar,13,322,53.66666666666666,138.79,0.7068965517241379,0.5384615384615384,0.8020304568527918
350,VR Aaron,9,45,11.25,81.82,0.36363636363636365,0.5555555555555556,0.49019607843137253
351,VS Malik,2,7,7.0,100.0,0.5714285714285714,0.5,0.5
352,VVS Laxman,20,276,14.526315789473687,102.22,0.5777777777777777,0.05,0.5150214592274678
353,VY Mahesh,5,15,7.5,53.57,0.0,0.6,0.5357142857142857
354,WA Mota,8,56,9.333333333333334,73.68,0.10526315789473684,0.25,0.6486486486486487
355,WD Parnell,12,63,7.0,78.75,0.275,0.25,0.5466666666666666
356,WP Saha,88,1683,24.39130434782609,126.92,0.702865761689291,0.2159090909090909,0.6693404634581105
357,WPUJC Vaas,11,75,9.375,104.17,0.2777777777777778,0.2727272727272727,0.8088235294117647
358,Washington Sundar,10,77,19.25,148.08,0.8461538461538461,0.6,0.7674418604651163
359,Y Nagar,20,285,20.357142857142858,105.17,0.4944649446494465,0.3,0.6239669421487604
360,Y Venugopal Rao,52,980,22.272727272727273,113.82,0.610917537746806,0.15384615384615385,0.606951871657754
361,YA Abdulla,1,0,,0.0,0.0,1.0,0.0
362,YK Pathan,146,3168,29.88679245283019,139.5,0.8789079700572435,0.273972602739726,0.6331712587790383
363,YS Chahal,9,16,5.333333333333333,48.48,0.0,0.6666666666666666,0.48484848484848486
364,YV Takawale,10,191,23.875,104.95,0.6703296703296703,0.2,0.45098039215686275
365,Yuvraj Singh,122,2641,24.91509433962264,124.87,0.7990543735224587,0.13114754098360656,0.5391156462585034
366,Z Khan,27,116,8.285714285714286,82.86,0.4,0.48148148148148145,0.47244094488188976
