index,Batsman,Matches,Runs,Average,NO,Balls,SR,30s,50s,HS,Sixes,Fours
49,B Kumar,37,171,10.6875,16,173,98.84,0,0,24,3,16
50,B Laughlin,4,5,2.5,2,13,38.46,0,0,4,0,0
51,B Lee,19,124,13.777777777777779,9,96,129.17,0,0,25,8,8
52,B Stanlake,1,5,5.0,1,2,250.0,0,0,5,0,1
53,B Sumanth,4,35,11.666666666666666,3,37,94.59,0,0,16,0,3
54,BA Bhatt,2,6,6.0,1,7,85.71,0,0,6,1,0
55,BA Stokes,23,512,512.0,1,381,134.38,6,2,103,21,35
56,BAW Mendis,3,3,3.0,1,6,50.0,0,0,2,0,0
57,BB McCullum,109,2860,408.57142857142856,7,2176,131.43,44,15,158,128,290
58,BB Samantray,8,125,41.666666666666664,3,113,110.62,2,1,55,2,13
59,BB Sran,5,7,1.4,5,10,70.0,0,0,2,0,0
60,BCJ Cutting,14,221,44.2,5,124,178.23,2,0,39,18,14
61,BE Hendricks,2,1,1.0,1,3,33.33,0,0,1,0,0
62,BJ Hodge,63,1399,66.61904761904762,21,1112,125.81,21,6,73,43,122
63,BJ Rohrer,8,193,96.5,2,141,136.88,3,1,64,5,21
64,Basil Thampi,6,31,6.2,5,34,91.18,0,0,13,1,1
65,Bipul Sharma,17,187,20.77777777777778,9,123,152.03,1,0,35,9,11
66,C de Grandhomme,17,253,63.25,4,175,144.57,4,0,41,15,14
67,CA Ingram,3,21,21.0,1,25,84.0,0,0,13,0,2
68,CA Lynn,28,879,293.0,3,618,142.23,12,6,93,41,88
69,CA Pujara,22,390,130.0,3,390,100.0,4,1,51,4,50
70,CH Gayle,111,3988,234.58823529411765,17,2647,150.66,49,31,171,288,328
71,CH Morris,31,480,26.666666666666668,18,290,165.52,5,2,82,24,36
72,CJ Anderson,29,538,76.85714285714286,7,421,127.79,7,3,95,31,40
73,CJ Ferguson,8,98,49.0,2,117,83.76,0,0,23,0,9
74,CL White,45,962,96.2,10,757,127.08,14,6,78,38,74
75,CM Gautam,13,169,56.333333333333336,3,149,113.42,3,0,33,6,17
76,CR Brathwaite,12,170,170.0,1,101,168.32,2,0,43,16,9
77,CR Woakes,11,63,12.6,5,66,95.45,0,0,18,2,5
78,CRD Fernando,2,4,2.0,2,3,133.33,0,0,2,0,0
79,D Salunkhe,3,33,33.0,1,24,137.5,0,0,26,0,5
80,D Wiese,8,126,31.5,4,89,141.57,1,0,47,4,12
81,DA Miller,67,1628,77.52380952380952,21,1165,139.74,19,9,100,79,106
82,DA Warner,114,3985,265.6666666666667,15,2809,141.87,57,39,126,157,399
83,DAJ Bracewell,1,12,12.0,1,9,133.33,0,0,12,0,1
84,DB Das,22,304,38.0,8,260,116.92,2,0,35,16,23
85,DB Ravi Teja,25,373,62.166666666666664,6,315,118.41,4,1,60,9,35
86,DE Bollinger,4,21,7.0,3,22,95.45,0,0,16,1,1
87,DH Yagnik,17,168,24.0,7,133,126.32,2,0,33,2,23
88,DJ Bravo,91,1391,43.46875,32,1082,128.56,14,5,70,57,109
89,DJ Hooda,38,455,56.875,8,347,131.12,4,1,54,23,21
90,DJ Hussey,61,1316,109.66666666666667,12,1070,122.99,19,5,71,60,89
91,DJ Thornely,4,39,39.0,1,53,73.58,1,0,30,2,2
92,DJG Sammy,20,295,59.0,5,241,122.41,1,1,60,18,15
93,DL Chahar,5,64,64.0,1,35,182.86,1,0,39,6,1
94,DL Vettori,16,121,15.125,8,112,108.04,0,0,29,2,11
95,DM Bravo,1,6,6.0,1,5,120.0,0,0,6,0,1
96,DNT Zoysa,2,11,11.0,1,9,122.22,0,0,10,0,1
97,DP Nannes,2,4,4.0,1,13,30.77,0,0,3,0,0
98,DP Vijaykumar,1,1,1.0,1,1,100.0,0,0,1,0,0
99,DPMD Jayawardene,78,1806,120.4,15,1462,123.53,23,11,110,40,200
100,DR Smith,88,2379,594.75,4,1755,135.56,34,17,86,117,244
101,DS Kulkarni,18,96,10.666666666666666,9,103,93.2,0,0,28,2,6
